34,23365652    15,412676432434564 2,9072798643980566 11,60540529317922 10,518723961338436 11,95952617443211 1,3823931799539104 8,646860522183802 5,548284709597228 19,34234735513118 12,676502507351492 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
37,721039311    8,976530492973373 10,553570834736512 12,363739367386218 8,215784472517546 12,671766926756785 9,316747609469912 15,760581073244266 6,828064460829399 8,143508041492506 7,169706720593497 
42,76762463    12,82277540003496 8,834412550905913 17,264624603734763 10,059874760317458 7,564212281003448 2,7770276043572 9,877700138404967 6,319980400151192 15,452725451765001 9,02666680932509 
42,76762463    12,82277540003496 8,834412550905913 17,264624603734763 10,059874760317458 7,564212281003448 2,7770276043572 9,877700138404967 6,319980400151192 15,452725451765001 9,02666680932509 
44,75245696    12,49306664441443 8,607255552679955 14,656959791208468 9,801207764643992 5,316922554487971 9,147451623169367 9,623717352352475 7,490483080177676 15,055393460780175 7,807542176085485 
44,75245696    12,49306664441443 8,607255552679955 14,656959791208468 9,801207764643992 5,316922554487971 9,147451623169367 9,623717352352475 7,490483080177676 15,055393460780175 7,807542176085485 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
44,75245696    12,493066644414428 8,607255552679954 14,656959791208466 9,80120776464399 5,31692255448797 9,147451623169365 9,623717352352473 7,490483080177675 15,055393460780174 7,807542176085484 
